Name of Restaurant,Location,Cuisine,Top Dishes,PRICE,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Adyar Ananda Bhavan,Meenambakkam,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.3,24,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Royapettah,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,2.8,38,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']"
Adyar Ananda Bhavan,Washermenpet,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.0,35,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Tiruvottiyur,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.6,31,0.0,0,"['Breakfast', 'Vegetarian Only', 'Desserts and Bakes', 'Indoor Seating']"
Adyar Ananda Bhavan,Koyambedu,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.6,10,3.9,23,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Triplicane,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.2,9,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Potheri,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,2.9,8,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table Reservation Not Required', 'Desserts and Bakes']"
Adyar Ananda Bhavan,Selaiyur,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.2,3,1.8,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating']"
Adyar Ananda Bhavan,Vepery,"['Mithai', ' Street Food', ' Fast Food', ' Ice Cream']",Not Mentioned,150.0,3.2,0,1.8,0,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Desserts and Bakes', 'Indoor Seating']"
Brownie Heaven,Thiruvanmiyur,"['Desserts', ' Bakery']","['Nutella Brownie', ' Ice Cream Sandwich', ' Tiramisu', ' Brownie Shake', ' Brownie Chocolate', ' Vanilla Ice Cream']",175.0,0.0,0,4.5,391,"['Home Delivery', 'Desserts and Bakes']"
Brownie Heaven,T. Nagar,"['Desserts', ' Bakery']","['Chips', ' Red Velvet', ' Nutella Brownie']",150.0,0.0,0,4.4,177,"['Home Delivery', 'Desserts and Bakes']"
Brownie Heaven,Adyar,"['Bakery', ' Desserts', ' Beverages']","['Chocolate Interplay', ' Nutella Brownie', ' Vanilla Ice Cream', ' Brownie Chocolate', ' Salted Caramel']",175.0,0.0,0,4.4,319,"['Home Delivery', 'Desserts and Bakes']"
Brownie Heaven,Egmore,"['Bakery', ' Desserts', ' Beverages']",['Brownie Chocolate'],175.0,3.9,46,4.5,152,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Brownie Heaven,"OMR Food Street,Thuraipakkam","['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.5,45,4.3,193,"['Home Delivery', 'Outdoor Seating', 'Desserts and Bakes']"
Brownie Heaven,Ashok Nagar,"['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.5,37,3.9,25,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
Brownie Heaven,Anna Nagar West,"['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.5,28,0.0,0,"['Takeaway Only', 'Desserts and Bakes']"
Brownie Heaven,Anna Nagar West,"['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.9,35,0.0,0,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']"
Brownie Heaven,Perungudi,"['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.6,18,0.0,0,"['Indoor Seating', 'Desserts and Bakes']"
Brownie Heaven,Velachery,"['Bakery', ' Desserts', ' Beverages']",Not Mentioned,175.0,3.5,19,3.9,81,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
